ride_id,trip_date,pickup_timestamp,dropoff_timestamp,driver_id,customer_id,pickup_city,drop_city,vehicle_type,payment_mode,trip_status,distance_km,fare_amount,surge_multiplier,driver_rating,customer_rating,luggage_count,fuel_type,booking_channel,load_timestamp
100000,2025-01-20,2025-01-20 01:52:00,2025-01-20 02:24:00,D5192,C89613,Mumbai,Mumbai,Sedan,Wallet,Completed,8.07,1460.53,1.0,4.6,4.2,1,CNG,Corporate,2026-06-27 14:11:35.521849
100001,2025-01-05,2025-01-05 02:21:00,2025-01-05 03:34:00,D6000,C21552,Chennai,Chennai,Bike,Cash,No Show,18.42,1379.0,1.2,3.7,3.1,1,Diesel,App,2026-06-27 14:11:35.521888
100002,2025-01-21,2025-01-21 10:52:00,2025-01-21 11:29:00,D3741,C28537,Hyderabad,Mumbai,Sedan,UPI,Completed,4.63,1142.0,2.0,4.3,4.6,2,CNG,App,2026-06-27 14:11:35.521922
100003,2025-01-10,2025-01-10 02:54:00,2025-01-10 04:17:00,D9067,C88225,Hyderabad,Hyderabad,SUV,Cash,No Show,14.94,603.42,2.0,4.7,4.5,3,EV,App,2026-06-27 14:11:35.521961
100004,2025-01-28,2025-01-28 22:13:00,2025-01-28 23:02:00,D8431,C77956,Chennai,Pune,Bike,UPI,Cancelled,2.83,159.59,2.0,3.8,4.9,2,Petrol,Corporate,2026-06-27 14:11:35.522006
100005,2025-01-22,2025-01-22 03:06:00,2025-01-22 03:55:00,D9833,C11183,Pune,Hyderabad,Mini,Debit Card,No Show,31.44,383.76,2.0,4.1,3.6,1,CNG,Corporate,2026-06-27 14:11:35.522046
100006,2025-01-25,2025-01-25 13:52:00,2025-01-25 15:08:00,D6811,C80322,Pune,Mumbai,Sedan,Cash,Cancelled,19.64,1431.22,1.0,4.4,3.8,4,Petrol,Corporate,2026-06-27 14:11:35.522083
100007,2025-01-14,2025-01-14 14:30:00,2025-01-14 15:15:00,D1066,C48093,Bengaluru,Delhi,Mini,UPI,Cancelled,17.08,813.66,1.5,4.8,5.0,2,EV,Corporate,2026-06-27 14:11:35.522117
100008,2025-01-23,2025-01-23 17:42:00,2025-01-23 18:20:00,D2831,C43040,Hyderabad,Mumbai,Bike,Cash,No Show,20.67,797.09,2.0,3.4,3.4,0,CNG,Corporate,2026-06-27 14:11:35.522148
100009,2025-01-21,2025-01-21 21:53:00,2025-01-21 22:59:00,D3385,C80028,Bengaluru,Pune,Auto,Debit Card,Cancelled,14.76,166.09,1.2,3.4,3.4,3,Petrol,App,2026-06-27 14:11:35.522183
100010,2025-01-19,2025-01-19 16:16:00,2025-01-19 17:38:00,D7827,C42640,Chennai,Pune,Sedan,Cash,No Show,19.17,938.83,2.0,3.1,4.3,0,Diesel,App,2026-06-27 14:11:35.522221
100011,2025-01-02,2025-01-02 01:06:00,2025-01-02 01:33:00,D6668,C67058,Pune,Chennai,Bike,UPI,Cancelled,6.17,669.27,1.0,3.5,3.1,2,Diesel,Corporate,2026-06-27 14:11:35.522258
100012,2025-01-12,2025-01-12 20:56:00,2025-01-12 22:25:00,D5530,C25822,Chennai,Mumbai,Bike,Credit Card,Cancelled,19.03,106.31,1.0,4.0,3.3,4,Petrol,App,2026-06-27 14:11:35.522292
100013,2025-01-19,2025-01-19 11:42:00,2025-01-19 12:21:00,D1514,C30635,Hyderabad,Chennai,Bike,Credit Card,Cancelled,17.67,904.92,1.2,3.1,4.0,3,Petrol,Corporate,2026-06-27 14:11:35.522336
100014,2025-01-26,2025-01-26 12:32:00,2025-01-26 12:43:00,D3693,C91873,Hyderabad,Hyderabad,Mini,Credit Card,Completed,13.32,1357.16,1.5,3.2,4.7,2,EV,Corporate,2026-06-27 14:11:35.522373
100015,2025-01-10,2025-01-10 09:13:00,2025-01-10 10:34:00,D2037,C72158,Mumbai,Delhi,Mini,Debit Card,No Show,23.93,351.83,1.5,3.6,4.6,4,Diesel,Corporate,2026-06-27 14:11:35.522405
100016,2025-01-16,2025-01-16 15:37:00,2025-01-16 15:55:00,D7684,C91985,Chennai,Delhi,SUV,Debit Card,Cancelled,14.06,1182.06,1.5,3.6,3.1,3,Petrol,Corporate,2026-06-27 14:11:35.522453
100017,2025-01-17,2025-01-17 23:10:00,2025-01-17 23:52:00,D8605,C64106,Bengaluru,Pune,Mini,UPI,Cancelled,20.34,1300.67,1.0,5.0,4.4,1,EV,App,2026-06-27 14:11:35.522474
100018,2025-01-18,2025-01-18 05:41:00,2025-01-18 06:24:00,D7372,C58013,Hyderabad,Bengaluru,Bike,Cash,Cancelled,15.93,605.25,1.2,4.5,3.9,3,Petrol,Corporate,2026-06-27 14:11:35.522491
100019,2025-01-14,2025-01-14 22:07:00,2025-01-14 23:00:00,D5868,C10484,Chennai,Mumbai,Mini,UPI,Completed,20.6,283.12,1.2,3.6,4.5,2,CNG,App,2026-06-27 14:11:35.522509
100020,2025-01-12,2025-01-12 06:49:00,2025-01-12 07:42:00,D2742,C25476,Mumbai,Mumbai,Auto,Debit Card,Cancelled,38.17,305.8,1.5,4.8,3.3,2,CNG,App,2026-06-27 14:11:35.522526
100021,2025-01-12,2025-01-12 04:04:00,2025-01-12 05:14:00,D9844,C76029,Delhi,Mumbai,Bike,UPI,Cancelled,32.85,220.0,2.0,4.8,4.7,2,EV,App,2026-06-27 14:11:35.522544
100022,2025-01-05,2025-01-05 08:04:00,2025-01-05 09:16:00,D3156,C14399,Hyderabad,Pune,Mini,Cash,No Show,4.91,280.31,1.2,4.1,3.6,1,CNG,App,2026-06-27 14:11:35.522561
100023,2025-01-24,2025-01-24 04:49:00,2025-01-24 05:58:00,D9185,C64455,Bengaluru,Delhi,Auto,Credit Card,Cancelled,3.21,855.86,1.0,,3.7,4,Petrol,Corporate,2026-06-27 14:11:35.522578
100024,2025-01-28,2025-01-28 19:11:00,2025-01-28 19:58:00,D3497,C93415,Delhi,Hyderabad,Auto,Wallet,Completed,11.61,1393.52,1.2,4.5,3.1,4,CNG,Corporate,2026-06-27 14:11:35.522601
100025,2025-01-15,2025-01-15 04:39:00,2025-01-15 05:54:00,D9179,C38443,Bengaluru,Mumbai,SUV,Credit Card,Cancelled,34.22,408.93,1.0,3.3,3.0,1,CNG,Corporate,2026-06-27 14:11:35.522626
100026,2025-01-02,2025-01-02 02:53:00,2025-01-02 03:21:00,,C77221,Hyderabad,Bengaluru,Mini,Cash,No Show,22.44,1267.46,2.0,3.3,3.2,4,Diesel,App,2026-06-27 14:11:35.522661
100027,2025-01-11,2025-01-11 09:44:00,2025-01-11 09:51:00,D8236,C50224,Mumbai,Mumbai,Sedan,Cash,No Show,21.52,1132.19,1.0,4.3,3.0,1,EV,Corporate,2026-06-27 14:11:35.522705
100028,2025-01-17,2025-01-17 02:29:00,2025-01-17 03:42:00,D6792,C95851,Chennai,Mumbai,Mini,Credit Card,Completed,34.38,1064.44,2.0,3.3,4.3,4,Diesel,App,2026-06-27 14:11:35.522723
100029,2025-01-06,2025-01-06 05:23:00,2025-01-06 06:24:00,D7852,C76065,Bengaluru,Bengaluru,SUV,UPI,No Show,8.87,959.37,1.0,3.0,3.4,2,Petrol,Corporate,2026-06-27 14:11:35.522802
100030,2025-01-24,2025-01-24 09:47:00,2025-01-24 09:59:00,D9121,C55917,Delhi,Pune,SUV,Credit Card,Completed,6.09,1349.49,2.0,4.5,3.9,0,CNG,Corporate,2026-06-27 14:11:35.522832
100031,2025-01-05,2025-01-05 04:24:00,2025-01-05 04:47:00,D2681,C49034,Mumbai,Pune,Sedan,Wallet,No Show,1.75,728.27,1.2,3.8,4.0,0,Petrol,Corporate,2026-06-27 14:11:35.522890
100032,2025-01-25,2025-01-25 20:18:00,2025-01-25 21:00:00,D5397,C69441,Hyderabad,Mumbai,Auto,Debit Card,No Show,11.0,310.59,1.0,3.7,3.9,2,Petrol,Corporate,2026-06-27 14:11:35.522989
100033,2025-01-06,2025-01-06 10:39:00,2025-01-06 10:54:00,D1071,C61089,Chennai,Delhi,Mini,Wallet,Completed,37.74,559.88,1.5,4.2,4.9,1,Diesel,Corporate,2026-06-27 14:11:35.523028
100034,2025-01-12,2025-01-12 07:46:00,2025-01-12 08:43:00,D2296,C22054,Delhi,Bengaluru,Mini,UPI,Cancelled,18.07,139.21,1.2,4.0,4.6,3,EV,Corporate,2026-06-27 14:11:35.523077
100035,2025-01-05,2025-01-05 12:31:00,2025-01-05 13:43:00,D7502,C33119,Bengaluru,Delhi,Auto,Cash,Cancelled,21.27,597.98,1.0,4.9,4.8,2,CNG,Corporate,2026-06-27 14:11:35.523112
100036,2025-01-24,2025-01-24 11:22:00,2025-01-24 12:44:00,D2293,C44980,Delhi,Hyderabad,Auto,UPI,Cancelled,11.6,1131.74,1.2,4.8,3.6,4,Diesel,Corporate,2026-06-27 14:11:35.523146
100037,2025-01-06,2025-01-06 01:02:00,2025-01-06 02:19:00,D6152,C75949,Mumbai,Chennai,Mini,Credit Card,Cancelled,19.57,513.99,1.5,4.3,3.1,0,Petrol,Corporate,2026-06-27 14:11:35.523175
100038,2025-01-25,2025-01-25 02:46:00,2025-01-25 03:37:00,D9335,C96500,Bengaluru,Chennai,Mini,Cash,No Show,37.05,860.95,2.0,3.8,3.7,3,Petrol,Corporate,2026-06-27 14:11:35.523193
100039,2025-01-18,2025-01-18 14:55:00,2025-01-18 16:25:00,D3974,C88275,Delhi,Delhi,Mini,Cash,Cancelled,39.36,1218.94,2.0,3.8,3.5,3,EV,Corporate,2026-06-27 14:11:35.523210
100040,2025-01-25,2025-01-25 08:50:00,2025-01-25 09:07:00,D5211,C52083,Hyderabad,Mumbai,Sedan,Wallet,Completed,33.37,160.22,1.0,4.2,3.0,3,Petrol,Corporate,2026-06-27 14:11:35.523246
100041,2025-01-11,2025-01-11 07:59:00,2025-01-11 08:55:00,D8276,C89095,Bengaluru,Mumbai,SUV,Credit Card,Cancelled,33.66,584.84,1.0,,4.8,4,Diesel,App,2026-06-27 14:11:35.523286
100042,2025-01-06,2025-01-06 09:15:00,2025-01-06 10:05:00,D4333,C95733,Delhi,Pune,Sedan,Debit Card,No Show,7.56,139.57,1.5,4.8,4.8,0,Diesel,Corporate,2026-06-27 14:11:35.523341
100043,2025-01-23,2025-01-23 14:09:00,2025-01-23 15:08:00,D5147,C14410,Delhi,Mumbai,Bike,UPI,Completed,29.07,466.53,1.5,3.8,3.7,3,Petrol,App,2026-06-27 14:11:35.523377
100044,2025-01-15,2025-01-15 07:34:00,2025-01-15 08:03:00,D9650,C84288,Hyderabad,Delhi,Auto,UPI,No Show,26.24,1187.41,1.0,3.2,4.9,3,CNG,Corporate,2026-06-27 14:11:35.523421
100045,2025-01-16,2025-01-16 02:47:00,2025-01-16 03:37:00,D7446,C93697,Pune,Pune,Mini,Wallet,No Show,37.53,140.37,1.2,3.5,3.5,3,Petrol,App,2026-06-27 14:11:35.523481
100046,2025-01-22,2025-01-22 07:31:00,2025-01-22 07:55:00,D7309,C43302,Mumbai,Hyderabad,SUV,Cash,Cancelled,35.98,85.31,1.0,3.3,3.2,0,Petrol,Corporate,2026-06-27 14:11:35.523520
100047,2025-01-14,2025-01-14 22:42:00,2025-01-14 23:33:00,D3671,C21337,Chennai,Delhi,Auto,Debit Card,Completed,29.94,856.73,1.5,4.6,3.8,2,CNG,App,2026-06-27 14:11:35.523579
100048,2025-01-17,2025-01-17 19:27:00,2025-01-17 19:40:00,D2505,C84337,Bengaluru,Bengaluru,Mini,Debit Card,Cancelled,24.62,161.0,1.0,4.1,3.3,0,CNG,App,2026-06-27 14:11:35.523631
100049,2025-01-16,2025-01-16 02:32:00,2025-01-16 03:02:00,D2010,C88786,Pune,Bengaluru,Sedan,Wallet,Completed,10.01,1132.72,1.5,,3.8,0,Diesel,App,2026-06-27 14:11:35.523666
