ride_id,trip_date,pickup_timestamp,dropoff_timestamp,driver_id,customer_id,pickup_city,drop_city,vehicle_type,payment_mode,trip_status,distance_km,fare_amount,surge_multiplier,driver_rating,customer_rating,luggage_count,fuel_type,booking_channel,load_timestamp
300000,2025-03-02,2025-03-02 21:40:00,2025-03-02 22:59:00,D8469,C96457,Chennai,Delhi,Mini,Credit Card,Cancelled,32.54,1363.02,2.0,3.2,3.1,1,CNG,App,2026-06-27 14:11:36.832412
300001,2025-03-16,2025-03-16 01:11:00,2025-03-16 02:30:00,D9266,C53937,Delhi,Mumbai,Bike,Credit Card,Cancelled,35.42,845.11,2.0,3.7,4.3,0,CNG,App,2026-06-27 14:11:36.832459
300002,2025-03-16,2025-03-16 04:25:00,2025-03-16 04:36:00,D9632,C42247,Pune,Hyderabad,Bike,Wallet,Completed,2.6,325.89,1.2,4.3,3.0,0,CNG,App,2026-06-27 14:11:36.832497
300003,2025-03-11,2025-03-11 23:03:00,2025-03-12 00:02:00,D3705,C24418,Pune,Mumbai,Sedan,Cash,Cancelled,16.93,589.29,1.2,4.7,3.8,2,Diesel,Corporate,2026-06-27 14:11:36.832516
300004,2025-03-12,2025-03-12 09:43:00,2025-03-12 10:04:00,D8674,C44328,Delhi,Hyderabad,SUV,Debit Card,Completed,2.18,719.35,2.0,3.2,4.9,2,CNG,Corporate,2026-06-27 14:11:36.832534
300005,2025-03-05,2025-03-05 04:54:00,2025-03-05 06:13:00,D9690,C96578,Delhi,Mumbai,Mini,UPI,No Show,6.41,718.86,2.0,4.6,3.2,3,Diesel,Corporate,2026-06-27 14:11:36.832561
300006,2025-03-09,2025-03-09 14:39:00,2025-03-09 15:30:00,D3242,C65316,Delhi,Bengaluru,Sedan,Debit Card,No Show,2.44,1370.91,1.0,4.3,4.7,3,CNG,App,2026-06-27 14:11:36.832595
300007,2025-03-26,2025-03-26 11:52:00,2025-03-26 12:14:00,D1622,C33889,Bengaluru,Bengaluru,Mini,Wallet,Completed,29.23,401.32,1.5,3.2,3.4,4,Petrol,Corporate,2026-06-27 14:11:36.832621
300008,2025-03-19,2025-03-19 14:33:00,2025-03-19 14:57:00,D1362,C66762,Hyderabad,Pune,Auto,Debit Card,No Show,38.1,1080.19,1.0,4.2,3.2,4,Petrol,Corporate,2026-06-27 14:11:36.832639
300009,2025-03-05,2025-03-05 22:42:00,2025-03-05 23:34:00,D4850,C67487,Hyderabad,Delhi,Bike,Debit Card,Cancelled,2.27,1247.57,1.2,3.2,3.5,0,EV,Corporate,2026-06-27 14:11:36.832656
300010,2025-03-22,2025-03-22 02:04:00,2025-03-22 02:41:00,D9944,C39138,Hyderabad,Hyderabad,Sedan,Credit Card,Cancelled,32.91,667.8,1.2,3.7,,1,EV,Corporate,2026-06-27 14:11:36.832673
300011,2025-03-14,2025-03-14 08:13:00,2025-03-14 08:46:00,D4635,C71616,Pune,Hyderabad,SUV,Wallet,Cancelled,14.64,283.23,1.2,4.2,3.5,0,CNG,Corporate,2026-06-27 14:11:36.832690
300011,2025-03-27,2025-03-27 05:15:00,2025-03-27 06:12:00,D7306,C70325,Delhi,Delhi,SUV,Wallet,Cancelled,9.62,1251.9,2.0,,4.2,0,CNG,Corporate,2026-06-27 14:11:36.832728
300013,2025-03-22,2025-03-22 02:05:00,2025-03-22 02:17:00,D3928,C16852,Hyderabad,Chennai,Bike,Wallet,Cancelled,14.11,93.3,1.5,4.4,3.3,2,EV,Corporate,2026-06-27 14:11:36.832760
